poniedziałek,понедельник
wtorek,вторник
środa,среда
czwartek,четверг
piątek,пятница
sobota,суббота
niedziela,воскресенье
dzisiaj,сегодня
jutro,завтра
wczoraj,вчера
tydzień,неделю
miesiąc,месяц
godzina,время
zielony,зелёный
czerwony,красный
czarny,чёрный
biały,белый
żółty,жёлтый
pomarańczowy,оранжевый
brązowy,коричневый
fioletowy,фиолетовый
szary,серый
niebieski,голубой
granatowy,синий
być,быть
mieć,иметь
iść,идти
chcieć,хотеть
jeść,есть
pić,пить
myć się,мыться
patrzeć,смотреть
dawać,давать
wiedzieć,знать
mówić,говорить
umieć,уметь
brać,брать
Dzień dobry! (oficjalnie),Здравствуйте!
Dzień dobry! (rano),Доброе утро!
Dzień dobry! (do 17),Доброе день!
Dobry wieczór!,Добрый вечер!
Cześć!,Привет!
Siemka!,Здорова!
rodzina,семья
babcia,бабушка
dziadek,дедушка
matka,мать
ojciec,отец
mama,мама
tata,папа
siostra,сестра
brat,брат
córka,дочь
syn,сын
wnuczka,внучка
wnuk,внук
mąż,муж
żona,жена
ciocia,тетя
wujek,дядя
1,Один
2,Два
3,Три
4,Четыре
5,Пять
6,Шесть
7,Семь
8,Восемь
9,Девять
10,Десять
11,Одиннадцать
12,Двенадцать
13,Тринадцать
14,Четырнадцать
15,Пятнадцать
16,Шестнадцать
17,Семнадцать
18,Восемнадцать
19,Девятнадцать
20,Двадцать
30,Тридцать
40,Сорок
50,Пятьдесят
60,Шестьдесят
70,Семьдесят
80,Восемьдесят
90,Девяносто
100,Сто
ananas,ананaс
banan,банан
waza,ваза
gazeta,газета
dom,дом
jeszcze,ещё
jeż,ёж
czasopismo,журнал
parasolka,зонт
igła,игла
kiełbasa,колбаса
lampa,лампа
samochód,машина
nos,нос
okno,окно
paszport,паспорт
ryba,рыба
stół,стол
tort,торт
podręcznik,учебник
jod,йод
piłka nożna,футбол
chleb,хлеб
kwiat,цветок
walizka,чемодан
szafa,шкаф
szczotka,щётка
eskimos,эскимо
spódnica,юбка
jabłko,яблоко
styczeń,январь
luty,февраль
marzec,март
kwiecień,апрель
maj,май
czerwiec,июнь
lipiec,июль
sierpień,август
wrzesień,сентябрь
październik,октябрь
listopad,ноябрь
grudzień,декабрь
pierwszy,первый
drugi,второй
trzeci,третий
czwarty,четвёртый
piąty,пятый
szósty,шестой
siódmy,седьмой
ósmy,восьмой
dziewiąty,девятый
dziesiąty,десятый
chleb,хлеб
woda,вода
bułka,булка
kanapka,бутерброд
masło,масло
sok,сок
szklanka,склянка
ziemniak,картошка
pomidor,помидор
ogórek,огурец
sygnalizacja świetlna,светофор
przed,перед
ale,но
tutaj,здесь
też,тоже
jeszcze,ещё
już,уже
lub,или
pod,под
na,на
przy,у
nad,над
pod,под
ponieważ,потому
więc,итак
i,и
a,и
spodnie,штаны
spódnica,юбка
skarpetki,носки
majtki,трусы
koszulka,рубашка
rękawiczki,перчатки
czapka,шапка
kurtka,куртка
sukienka,платье
broda,борода
włosy,волосы
oko,глаз
głowa,голова
brzuch,живот
zęby,зубы
skóra,кожа
kolano,колено
twarz,лицо
noga,нога
Nos,нос
palec,палец
usta,рот
Ręka,рука
plecy,спина
Ucho,ухо
Szyja,шея
